timestamp,plate,origin,goal,algorithm,best_summary
2026-03-22T19:15:46,AA-11-BB,Aveiro,Faro,astar,astar: Aveiro -> Leiria -> Santarém -> Évora -> Beja -> Faro (532)
2026-03-22T19:55:21,AA-11-BB,Aveiro,Faro,all,ucs: Aveiro -> Leiria -> Santarém -> Évora -> Beja -> Faro (532) | dls: Aveiro -> Coimbra -> Castelo Branco -> Portalegre -> Évora -> Beja -> Faro (668) | greedy: Aveiro -> Leiria -> Lisboa -> Faro (543) | astar: Aveiro -> Leiria -> Santarém -> Évora -> Beja -> Faro (532)
2026-03-22T19:57:19,AA-11-BB,Aveiro,Faro,astar,astar: Aveiro -> Leiria -> Santarém -> Évora -> Beja -> Faro (532)
2026-03-22T19:57:55,AA-11-BB,Braga,Faro,dls,dls: Braga -> Porto -> Aveiro -> Coimbra -> Castelo Branco -> Portalegre -> Évora -> Beja -> Faro (789)
2026-03-22T19:58:25,AA-11-BB,Aveiro,Faro,astar,astar: Aveiro -> Leiria -> Santarém -> Évora -> Beja -> Faro (532)
2026-04-12T17:11:16,AA-11-BB,Aveiro,Faro,all,ucs: Aveiro -> Leiria -> Santarém -> Évora -> Beja -> Faro (532) | dls: Aveiro -> Coimbra -> Castelo Branco -> Portalegre -> Évora -> Beja -> Faro (668) | greedy: Aveiro -> Leiria -> Lisboa -> Faro (543) | astar: Aveiro -> Leiria -> Santarém -> Évora -> Beja -> Faro (532)
2026-04-12T17:12:44,AA-11-BB,Aveiro,Faro,astar,astar: Aveiro -> Leiria -> Santarém -> Évora -> Beja -> Faro (532)
2026-04-12T17:13:03,AA-11-BB,Braga,Faro,dls,dls: Braga -> Porto -> Aveiro -> Coimbra -> Castelo Branco -> Portalegre -> Évora -> Beja -> Faro (789)
2026-04-12T17:13:46,AA-11-BB,Aveiro,Faro,astar,astar: Aveiro -> Leiria -> Santarém -> Évora -> Beja -> Faro (532)
2026-04-12T17:28:55,AA-11-BB,Viseu,Guarda,all,ucs: Viseu -> Guarda (85) | dls: Viseu -> Aveiro -> Coimbra -> Castelo Branco -> Guarda (428) | greedy: Viseu -> Guarda (85) | astar: Viseu -> Guarda (85)
2026-04-12T17:30:15,AA-11-BB,Viseu,Guarda,astar,astar: Viseu -> Guarda (85)
2026-04-12T17:31:19,AA-11-BB,Viseu,Guarda,astar,astar: Viseu -> Guarda (85)
2026-04-12T17:38:03,AA-11-BB,Viseu,Guarda,astar,astar: Viseu -> Guarda (85)
2026-04-12T17:39:18,AA-11-BB,Porto,Beja,all,ucs: Porto -> Aveiro -> Leiria -> Santarém -> Évora -> Beja (448) | dls: Porto -> Aveiro -> Coimbra -> Castelo Branco -> Portalegre -> Évora -> Beja (584) | greedy: Porto -> Aveiro -> Leiria -> Lisboa -> Setúbal -> Beja (504) | astar: Porto -> Aveiro -> Leiria -> Santarém -> Évora -> Beja (448)
2026-04-12T17:44:34,AA-11-BB,Porto,Beja,all,ucs: Porto -> Aveiro -> Leiria -> Santarém -> Évora -> Beja (448) | dls: Porto -> Aveiro -> Coimbra -> Castelo Branco -> Portalegre -> Évora -> Beja (584) | greedy: Porto -> Aveiro -> Leiria -> Lisboa -> Setúbal -> Beja (504) | astar: Porto -> Aveiro -> Leiria -> Santarém -> Évora -> Beja (448)
2026-04-12T17:52:06,AA-11-BB,Porto,Beja,all,ucs: Porto -> Aveiro -> Leiria -> Santarém -> Évora -> Beja (448) | dls: Porto -> Aveiro -> Coimbra -> Castelo Branco -> Portalegre -> Évora -> Beja (584) | greedy: Porto -> Aveiro -> Leiria -> Lisboa -> Setúbal -> Beja (504) | astar: Porto -> Aveiro -> Leiria -> Santarém -> Évora -> Beja (448)
2026-04-12T19:57:43,AA-11-BB,Aveiro,Faro,all,ucs: Aveiro -> Leiria -> Santarém -> Évora -> Beja -> Faro (532) | dls: Aveiro -> Coimbra -> Castelo Branco -> Portalegre -> Évora -> Beja -> Faro (668) | greedy: Aveiro -> Leiria -> Lisboa -> Faro (543) | astar: Aveiro -> Leiria -> Santarém -> Évora -> Beja -> Faro (532)
2026-04-12T20:05:44,AA-11-BB,Castelo Branco,Faro,all,ucs: Castelo Branco -> Évora -> Beja -> Faro (433) | dls: Castelo Branco -> Coimbra -> Aveiro -> Leiria -> Lisboa -> Faro (770) | greedy: Castelo Branco -> Évora -> Beja -> Faro (433) | astar: Castelo Branco -> Évora -> Beja -> Faro (433)
2026-04-12T20:14:38,AA-11-BB,Aveiro,Faro,all,ucs: Aveiro -> Leiria -> Santarém -> Évora -> Beja -> Faro (532) | dls: Aveiro -> Coimbra -> Castelo Branco -> Portalegre -> Évora -> Beja -> Faro (668) | greedy: Aveiro -> Leiria -> Lisboa -> Faro (543) | astar: Aveiro -> Leiria -> Santarém -> Évora -> Beja -> Faro (532)
2026-04-12T20:25:13,AA-11-BB,Aveiro,Faro,all,ucs: Aveiro -> Leiria -> Santarém -> Évora -> Beja -> Faro (532) | dls: Aveiro -> Coimbra -> Castelo Branco -> Portalegre -> Évora -> Beja -> Faro (668) | greedy: Aveiro -> Leiria -> Lisboa -> Faro (543) | astar: Aveiro -> Leiria -> Santarém -> Évora -> Beja -> Faro (532)
2026-04-12T20:30:57,AA-11-BB,Aveiro,Faro,all,ucs: Aveiro -> Leiria -> Santarém -> Évora -> Beja -> Faro (532) | dls: Aveiro -> Coimbra -> Castelo Branco -> Portalegre -> Évora -> Beja -> Faro (668) | greedy: Aveiro -> Leiria -> Lisboa -> Faro (543) | astar: Aveiro -> Leiria -> Santarém -> Évora -> Beja -> Faro (532)
2026-04-12T20:34:29,AA-11-BB,Aveiro,Évora,all,ucs: Aveiro -> Leiria -> Santarém -> Évora (302) | dls: Aveiro -> Coimbra -> Castelo Branco -> Portalegre -> Évora (438) | greedy: Aveiro -> Viseu -> Guarda -> Castelo Branco -> Évora (489) | astar: Aveiro -> Leiria -> Santarém -> Évora (302)
2026-04-12T20:49:16,AA-11-BB,Beja,Viseu,all,ucs: Beja -> Évora -> Santarém -> Leiria -> Coimbra -> Viseu (428) | dls: Beja -> Faro -> Lisboa -> Leiria -> Aveiro -> Coimbra -> Castelo Branco -> Guarda -> Bragança -> Vila Real -> Viseu (1477) | greedy: Beja -> Setúbal -> Évora -> Castelo Branco -> Coimbra -> Viseu (703) | astar: Beja -> Évora -> Santarém -> Leiria -> Coimbra -> Viseu (428)
2026-04-12T20:51:49,AA-11-BB,Beja,Évora,all,ucs: Beja -> Évora (78) | dls: Beja -> Faro -> Lisboa -> Leiria -> Aveiro -> Coimbra -> Castelo Branco -> Portalegre -> Évora (1133) | greedy: Beja -> Setúbal -> Évora (245) | astar: Beja -> Évora (78)
2026-04-12T20:59:44,AA-11-BB,João Almeida,Tesla Model 3,Castelo Branco,Leiria,all,10,Custo Uniforme: Castelo Branco → Coimbra → Leiria (226 km) | Profundidade Limitada: Castelo Branco → Coimbra → Aveiro → Leiria (342 km) | Procura Sôfrega: Castelo Branco → Coimbra → Viseu → Porto → Aveiro → Leiria (571 km) | A*: Castelo Branco → Coimbra → Leiria (226 km)
2026-04-12T21:31:10,00-AA-00,Marta Costa,Renault Clio,Braga,Guarda,ucs,10,Custo Uniforme: Braga → Vila Real → Guarda (263 km)
2026-04-13T21:44:13,AA-11-BB,João Almeida,Tesla Model 3,Aveiro,Faro,all,10,Custo Uniforme: Aveiro → Leiria → Santarém → Évora → Beja → Faro (532 km) | Profundidade Limitada: Aveiro → Coimbra → Castelo Branco → Portalegre → Évora → Beja → Faro (668 km) | Procura Sôfrega: Aveiro → Leiria → Lisboa → Faro (543 km) | A*: Aveiro → Leiria → Santarém → Évora → Beja → Faro (532 km)
2026-04-13T21:45:21,AA-11-BB,João Almeida,Tesla Model 3,Aveiro,Castelo Branco,all,10,Custo Uniforme: Aveiro → Coimbra → Castelo Branco (227 km) | Profundidade Limitada: Aveiro → Coimbra → Castelo Branco (227 km) | Procura Sôfrega: Aveiro → Viseu → Guarda → Castelo Branco (286 km) | A*: Aveiro → Coimbra → Castelo Branco (227 km)
2026-04-13T22:09:04,AA-11-BB,João Almeida,Tesla Model 3,Braga,Leiria,all,10,Custo Uniforme: Braga → Porto → Aveiro → Leiria (236 km) | Profundidade Limitada: Braga → Porto → Aveiro → Coimbra → Castelo Branco → Portalegre → Évora → Beja → Faro → Lisboa → Leiria (1217 km) | Procura Sôfrega: Braga → Porto → Aveiro → Leiria (236 km) | A*: Braga → Porto → Aveiro → Leiria (236 km)
2026-04-13T22:43:11,AA-11-BB,João Almeida,Tesla Model 3,Braga,Lisboa,all,10,Custo Uniforme: Braga → Porto → Aveiro → Leiria → Lisboa (365 km) | Profundidade Limitada: Braga → Porto → Aveiro → Coimbra → Castelo Branco → Portalegre → Évora → Beja → Faro → Lisboa (1088 km) | Procura Sôfrega: Braga → Porto → Aveiro → Leiria → Lisboa (365 km) | A*: Braga → Porto → Aveiro → Leiria → Lisboa (365 km)
2026-04-13T22:46:29,00-AA-00,Marta Costa,Renault Clio,Braga,Lisboa,all,10,Custo Uniforme: Braga → Porto → Aveiro → Leiria → Lisboa (365 km) | Profundidade Limitada: Braga → Porto → Aveiro → Coimbra → Castelo Branco → Portalegre → Évora → Beja → Faro → Lisboa (1088 km) | Procura Sôfrega: Braga → Porto → Aveiro → Leiria → Lisboa (365 km) | A*: Braga → Porto → Aveiro → Leiria → Lisboa (365 km)
2026-04-13T22:51:44,AA-11-BB,João Almeida,Tesla Model 3,Aveiro,Faro,all,10,Custo Uniforme: Aveiro → Leiria → Santarém → Évora → Beja → Faro (532 km) | Profundidade Limitada: Aveiro → Coimbra → Castelo Branco → Portalegre → Évora → Beja → Faro (668 km) | Procura Sôfrega: Aveiro → Leiria → Lisboa → Faro (543 km) | A*: Aveiro → Leiria → Santarém → Évora → Beja → Faro (532 km)
2026-04-13T22:54:44,AA-11-BB,João Almeida,Tesla Model 3,Aveiro,Faro,all,10,Custo Uniforme: Aveiro → Leiria → Santarém → Évora → Beja → Faro (532 km) | Profundidade Limitada: Aveiro → Coimbra → Castelo Branco → Portalegre → Évora → Beja → Faro (668 km) | Procura Sôfrega: Aveiro → Leiria → Lisboa → Faro (543 km) | A*: Aveiro → Leiria → Santarém → Évora → Beja → Faro (532 km)
2026-04-13T22:59:30,00-AA-00,Marta Costa,Renault Clio,Aveiro,Faro,all,10,Custo Uniforme: Aveiro → Leiria → Santarém → Évora → Beja → Faro (532 km) | Profundidade Limitada: Aveiro → Coimbra → Castelo Branco → Portalegre → Évora → Beja → Faro (668 km) | Procura Sôfrega: Aveiro → Leiria → Lisboa → Faro (543 km) | A*: Aveiro → Leiria → Santarém → Évora → Beja → Faro (532 km)
2026-04-13T23:04:27,00-AA-00,Marta Costa,Renault Clio,Aveiro,Faro,all,10,Custo Uniforme: Aveiro → Leiria → Santarém → Évora → Beja → Faro (532 km) | Profundidade Limitada: Aveiro → Coimbra → Castelo Branco → Portalegre → Évora → Beja → Faro (668 km) | Procura Sôfrega: Aveiro → Leiria → Lisboa → Faro (543 km) | A*: Aveiro → Leiria → Santarém → Évora → Beja → Faro (532 km)
2026-04-13T23:06:02,00-AA-00,Marta Costa,Renault Clio,Aveiro,Faro,all,10,Custo Uniforme: Aveiro → Leiria → Santarém → Évora → Beja → Faro (532 km) | Profundidade Limitada: Aveiro → Coimbra → Castelo Branco → Portalegre → Évora → Beja → Faro (668 km) | Procura Sôfrega: Aveiro → Leiria → Lisboa → Faro (543 km) | A*: Aveiro → Leiria → Santarém → Évora → Beja → Faro (532 km)
2026-04-13T23:09:54,AA-11-BB,João Almeida,Tesla Model 3,Aveiro,Faro,all,10,Custo Uniforme: Aveiro → Leiria → Santarém → Évora → Beja → Faro (532 km) | Profundidade Limitada: Aveiro → Coimbra → Castelo Branco → Portalegre → Évora → Beja → Faro (668 km) | Procura Sôfrega: Aveiro → Leiria → Lisboa → Faro (543 km) | A*: Aveiro → Leiria → Santarém → Évora → Beja → Faro (532 km)
2026-04-13T23:11:21,AA-11-BB,João Almeida,Tesla Model 3,Aveiro,Faro,all,10,Custo Uniforme: Aveiro → Leiria → Santarém → Évora → Beja → Faro (532 km) | Profundidade Limitada: Aveiro → Coimbra → Castelo Branco → Portalegre → Évora → Beja → Faro (668 km) | Procura Sôfrega: Aveiro → Leiria → Lisboa → Faro (543 km) | A*: Aveiro → Leiria → Santarém → Évora → Beja → Faro (532 km)
2026-04-13T23:13:51,AA-11-BB,João Almeida,Tesla Model 3,Aveiro,Faro,all,10,Custo Uniforme: Aveiro → Leiria → Santarém → Évora → Beja → Faro (532 km) | Profundidade Limitada: Aveiro → Coimbra → Castelo Branco → Portalegre → Évora → Beja → Faro (668 km) | Procura Sôfrega: Aveiro → Leiria → Lisboa → Faro (543 km) | A*: Aveiro → Leiria → Santarém → Évora → Beja → Faro (532 km)
2026-04-13T23:22:55,AA-11-BB,João Almeida,Tesla Model 3,Aveiro,Faro,all,10,Custo Uniforme: Aveiro → Leiria → Santarém → Évora → Beja → Faro (532 km) | Profundidade Limitada: Aveiro → Coimbra → Castelo Branco → Portalegre → Évora → Beja → Faro (668 km) | Procura Sôfrega: Aveiro → Leiria → Lisboa → Faro (543 km) | A*: Aveiro → Leiria → Santarém → Évora → Beja → Faro (532 km)
